Pipeline_Name,Layer,Engine,Status,Duration_Sec,Duration_Formatted,Rows_Read,Rows_Written,Data_Quality_Tests,Tests_Passed,Freshness_Hours,Execution_Date,Error_Message
dag_ingestion_movies_tmdb,Bronze,Airflow + Python,Success,45,00:00:45,9742,9742,8,8,2.6,2026-09-08 17:42:54,
dag_ingestion_ratings_stream,Bronze,Airflow + Kafka,Success,120,00:02:00,100836,100836,12,12,2.2,2026-09-08 17:42:54,
dag_ingestion_tags_raw,Bronze,Airflow + Python,Success,30,00:00:30,3683,3683,6,6,2.9000000000000004,2026-09-08 17:42:54,
dbt_stg_movies_cleansing,Silver,dbt Core + Postgres,Success,85,00:01:25,9742,9742,15,15,3.4000000000000004,2026-09-08 17:42:54,
dbt_stg_ratings_dedup,Silver,dbt Core + Postgres,Success,195,00:03:15,100836,100836,20,20,3.5,2026-09-08 17:42:54,
dbt_dim_movie_enrichment,Gold,dbt Core,Success,60,00:01:00,9742,9742,10,10,3.8,2026-09-08 17:42:54,
dbt_fact_ratings_mart,Gold,dbt Core,Success,140,00:02:20,100836,100836,18,18,3.8,2026-09-08 17:42:54,
spark_recommendation_hybrid,Gold / ML,PySpark,Success,310,00:05:10,610,610,14,14,4.4,2026-09-08 17:42:54,
dag_ingestion_movies_tmdb,Bronze,Airflow + Python,Success,45,00:00:45,9742,9742,8,8,2.4000000000000004,2026-09-09 17:42:54,
dag_ingestion_ratings_stream,Bronze,Airflow + Kafka,Success,120,00:02:00,100836,100836,12,12,2.0,2026-09-09 17:42:54,
dag_ingestion_tags_raw,Bronze,Airflow + Python,Success,30,00:00:30,3683,3683,6,6,2.7,2026-09-09 17:42:54,
dbt_stg_movies_cleansing,Silver,dbt Core + Postgres,Success,85,00:01:25,9742,9742,15,15,3.2,2026-09-09 17:42:54,
dbt_stg_ratings_dedup,Silver,dbt Core + Postgres,Success,195,00:03:15,100836,100836,20,20,3.3000000000000003,2026-09-09 17:42:54,
dbt_dim_movie_enrichment,Gold,dbt Core,Success,60,00:01:00,9742,9742,10,10,3.6,2026-09-09 17:42:54,
dbt_fact_ratings_mart,Gold,dbt Core,Success,140,00:02:20,100836,100836,18,18,3.6,2026-09-09 17:42:54,
spark_recommendation_hybrid,Gold / ML,PySpark,Success,310,00:05:10,610,610,14,14,4.2,2026-09-09 17:42:54,
